Country,Year,Unemployment,Delta_Unemployment,COORD,GDPGrowth,Inflation,ExportDependence,GovSpend
Germany,2003,9.779,1.2970000000000006,4.0,-0.529801394291297,1.03422218628562,31.2678451095809,19.0734600434664
Germany,2004,10.727,0.9480000000000004,4.0,1.16208684507278,1.66573696655991,33.9352126434777,18.5669242577539
Germany,2005,11.193,0.4659999999999993,4.0,0.885485292551564,1.54691114751328,35.9531497908166,18.4739713893822
Germany,2006,10.277,-0.9160000000000004,4.0,3.86668241523209,1.57742642840563,38.9694499171537,18.0172946772292
Germany,2007,8.732,-1.545,4.0,2.8891174138025,2.2983440070095,40.6368056265783,17.5553649959484
Germany,2008,7.508,-1.2239999999999993,4.0,0.887902330743628,2.62837981637219,40.9488738182043,17.9538713464747
Germany,2009,7.88,0.3719999999999999,4.0,-5.54455451920674,0.312739007368446,35.4545162932994,19.6050072775535
Germany,2010,7.043,-0.8369999999999997,4.0,4.13463778522758,1.1038103778926,39.4953465429823,19.1827581196516
Germany,2011,5.967,-1.0760000000000005,4.0,3.75796884489337,2.07517283735874,41.6436286591115,18.6995569567259
Germany,2012,5.372,-0.5949999999999998,4.0,0.463512036709204,2.00848884782956,42.6855834357406,18.9052184847532
Germany,2013,5.316,-0.05600000000000005,4.0,0.396995583779145,1.50472330251876,41.6802838324356,19.2533699868829
Germany,2014,4.979,-0.33699999999999974,4.0,2.18018602168017,0.906794000434245,41.6936675523627,19.2146344242026
Germany,2015,4.612,-0.367,4.0,1.66300602334775,0.514426137125456,42.5853976151835,19.3036024917153
Germany,2016,4.104,-0.508,4.0,2.22222216259371,0.491747008445174,41.6355419518592,19.5245695901052
Germany,2017,3.781,-0.32299999999999995,4.0,2.797906720551,1.50949485109628,42.2029575981591,19.4478730074915
Germany,2018,3.384,-0.39700000000000024,4.0,1.13569604599849,1.73216879766941,42.4968914074717,19.4857645390401
Germany,2019,3.163,-0.22100000000000009,4.0,0.977734697038784,1.44565976888253,42.3402444816356,19.8895196309028
Germany,2020,3.881,0.718,4.0,-4.13191443239947,0.144877925813981,39.1198068808828,21.7243937497102
Germany,2021,3.594,-0.2869999999999999,4.0,3.90999994204108,3.06666666666673,42.5198379291429,21.6396095960721
Germany,2022,3.137,-0.45699999999999985,4.0,1.8092581243061,6.87257438551096,45.6284043425185,21.3296017686915
Germany,2023,3.071,-0.06599999999999984,4.0,-0.869647578573321,5.94643667725823,42.9672624196847,21.0588698152068
Japan,2000,4.748,NA,4.0,2.76464755136783,-0.676578683595175,10.4634942027505,16.549191407008
Japan,2001,5.02,0.27199999999999935,4.0,0.386103426142029,-0.740055504162738,10.0767999632844,17.2289905143177
Japan,2002,5.386,0.36600000000000055,4.0,0.0419624992862282,-0.923494026942321,10.8554456072287,17.7749067788644
Japan,2003,5.251,-0.1349999999999998,4.0,1.53512549946694,-0.256541816316025,11.4658015766594,17.8364695899716
Japan,2004,4.734,-0.5170000000000003,4.0,2.18611569439318,-0.0085733882031027,12.7862646247862,17.7233548337375
Japan,2005,4.446,-0.28800000000000026,4.0,1.80390087215821,-0.282946068764391,13.8158957221159,17.7438933244397
Japan,2006,4.192,-0.25399999999999956,4.0,1.3723501275831,0.249355116079085,15.6573740466117,17.595075361072
